Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
LLM-Driven Feature Extraction for Stock Market Prediction: A Case Study of Tehran Stock Exchange,S. H. Saffarian; S. Haratizadeh,"College of Interdisciplinary Science and Technology, University of Tehran, Tehran, Iran; College of Interdisciplinary Science and Technology, University of Tehran, Tehran, Iran",2024 15th International Conference on Information and Knowledge Technology (IKT),26 Feb 2025,2024,,,59,65,"Stock market prediction is one of the most challenging research areas in recent years. With the emergence of deep learning and artificial intelligence, researchers have proposed various methods to predict stock market directions, considering different financial variables. One of the most significant variables influencing stock movement is user opinions and social media, which has attracted much attention from researchers in recent years. Although existing studies have introduced various methods to combine stock price and textual features, a reliable and comprehensive method has not yet been established, and there is still room for improvement. In this research, a novel method based on large language models is introduced for feature extraction from financial texts, and a self-attention mechanism is proposed to capture the internal relationships between textual and financial features. The results of the model presented in this study show a 3.10% improvement in accuracy compared to the latest competing models on a newly collected dataset",2476-2180,979-8-3315-2225-4,10.1109/IKT65497.2024.10892779,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10892779,Stock Market Prediction;Self-Attention Mechanism;Large Language Models;Information Fusion;Graph NeuralNetworks,Deep learning;Accuracy;Social networking (online);Large language models;Predictive models;Feature extraction;Reliability;Stock markets,,,,21.0,IEEE,26 Feb 2025,,,IEEE,IEEE Conferences
Enhancing FinRL Trading Agents with Advance LLM-Processed Financial News: An Improved Approach Using DeepSeek-V3,S. Chandra; G. Balakrishna,"School of Engineering, Anurag University, Hyderabad, India; School of Engineering, Anurag University, Hyderabad, India",2025 IEEE 11th International Conference on Intelligent Data and Security (IDS),19 Jun 2025,2025,,,52,54,"The use of AI techniques to improve stock market related operations has been benefiting traders in the stock market. FinRL is a framework that has been shown to be effective in building Reinforcement Learning (RL) based Trading Agents. Use of LLMs for performance improvement of the Agents is one of the recent initiatives. LLMs are being used to generate signals that could be combined with historical stock prices for better prediction of stock price movement trends leading to profitable trading. This paper aims to develop efficiently engineered prompts to generate DeepSeek-V3-based sentiment signals, integrate them into the FinRL environment, and improve the performance of reinforcement learning trading agents. The code, data, and trading agents are at: https://github.com/SatishChandraPhD/FinRL2025",,979-8-3315-9661-3,10.1109/IDS66066.2025.00016,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11038771,Financial Reinforcement Learning;FinRL;trading agent;prompt;large language model;DeepSeek;stock market;financial news;stock price trend,Codes;Large language models;Buildings;Reinforcement learning;Market research;Security;Stock markets,,,,13.0,IEEE,19 Jun 2025,,,IEEE,IEEE Conferences
Enhancing Stock Price Prediction: A Hybrid Approach Leveraging Large Language Models and Deep Learning,M. E. Ahmed; G. A. Ebrahim; M. A. Abdelaal,"Computer and Systems Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Computer and Systems Engineering Department, Faculty of Engineering, Ain Shams University, Cairo, Egypt; Computer Science Department, Faculty of Computers and Information, Sadat Academy for Management Sciences, Cairo, Egypt",2024 International Conference on Computer and Applications (ICCA),26 Mar 2025,2024,,,1,6,"Accurate stock price prediction is a challenging yet crucial goal in finance, with significant implications for investment decisions and risk management. This paper presents a comprehensive review of machine learning techniques for stock price prediction, examining traditional methods such as regression and ensemble models, as well as advanced approaches that integrate sentiment analysis and textual data sources. With the emergence of powerful Large Language Models (LLMs) such as ChatGPT, Llama and Gemini, we explore their potential for enhancing predictive accuracy using historical stock data. Key challenges are discussed, including data quality, model interpretability, and adapting to dynamic market conditions. Additionally, this paper proposes a trustworthy stock price prediction model based on LLMs enabling informed investment decision-making. Experimental results demonstrate that ChatGPT-4o model achieved a prediction accuracy of approximately 97%, which can be improved by tuning model parameters. Consequently, the paper highlights the potential of LLMs in improving stock price forecasting.",,979-8-3503-6756-0,10.1109/ICCA62237.2024.10927923,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10927923,Large Language Models (LLMs);Machine Learning;Stock Price Prediction,Adaptation models;Accuracy;Biological system modeling;Large language models;Semantics;Predictive models;Data models;Forecasting;Tuning;Investment,,,,23.0,IEEE,26 Mar 2025,,,IEEE,IEEE Conferences
Combining Financial Data and News Articles for Stock Price Movement Prediction Using Large Language Models,A. Elahi; F. Taghvaei,"Department of Computer Science, University of Illinois Chicago; Department of Electrical and Computer Engineering, University of Illinois Chicago",2024 IEEE International Conference on Big Data (BigData),16 Jan 2025,2024,,,4875,4883,"Predicting financial markets and stock price movements requires analyzing a company’s performance, historic price movements, industry-specific events alongside the influence of human factors such as social media and press coverage. We assume that financial reports (such as income statements, balance sheets, and cash flow statements), historical price data, and recent news articles can collectively represent aforementioned factors.We combine financial data in tabular format with textual news articles and employ pre-trained Large Language Models (LLMs) to predict market movements. Recent research in LLMs has demonstrated that they are able to perform both tabular and text classification tasks, making them our primary model to classify the multi-modal data. We utilize retrieval augmentation techniques to retrieve and attach relevant chunks of news articles to financial metrics related to a company and prompt the LLMs in zero, two, and four-shot settings. Our dataset contains news articles collected from different sources, historic stock price, and financial report data for 20 companies with the highest trading volume across different industries in the stock market. We utilized recently released language models for our LLM-based classifier, including GPT- 3 and 4, and LLaMA- 2 and 3 models.We introduce an LLM-based classifier capable of performing classification tasks using combination of tabular (structured) and textual (unstructured) data. By using this model, we predicted the movement of a given stock’s price in our dataset with a weighted F1-score of 58.5% and 59.1% and Matthews Correlation Coefficient of 0.175 for both 3-month and 6-month periods.The dataset and codes for this paper can be found on Github. https://github.com/aliielahi/FinedFMP 1",2573-2978,979-8-3503-6248-0,10.1109/BigData62323.2024.10825449,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10825449,Financial Stock Price Movement Prediction;Large Language Models;Information Retrieval;Retrieval Augmented Generation,Measurement;Presses;Social networking (online);Large language models;Text categorization;Companies;Predictive models;Data models;Stock markets;Software development management,,2.0,,25.0,IEEE,16 Jan 2025,,,IEEE,IEEE Conferences
Hybrid LSTM-Transformer Model for Stock Market Prediction: A Deep Learning Approach,N. S. R. Gona; D. R. Aunugu; V. Methuku; M. Agrawal; P. K. Myakala,"Dept of Data Science & Business Analytics, UNC Charlotte, Charlotte; Independent Researcher, Irving, USA; Independent Researcher, Leander, USA; Department of Computer Engineering, UNC Charlotte, Charlotte; Independent Researcher, Dallas, USA",2025 IEEE International Conference on Artificial Intelligence Testing (AITest),19 Aug 2025,2025,,,87,93,"Stock market prediction is a complex and dynamic task due to the volatile nature of financial markets, influenced by economic, social, and geopolitical factors. Traditional machine learning models, including Long Short-Term Memory (LSTM) networks, have shown potential but often fall short in capturing both short-term price fluctuations and long-term dependencies. This paper proposes a novel LSTM-Transformer hybrid model that integrates the sequential modeling capabilities of LSTM with the attention-based long-range pattern recognition of Transformers. To enhance predictive performance, we incorporate key technical indicators—Relative Strength Index (RSI), Moving Average Convergence Divergence (MACD), Bollinger Bands—as well as sentiment features derived from FinBERT, a finance-specific large language model.The model is trained on historical stock data spanning 2015 to 2024 and evaluated using an $80 \%-20 \%$ training-testing split. Performance is assessed using Mean Squared Error (MSE), Root Mean Squared Error (RMSE), Mean Absolute Percentage Error (MAPE), and Sharpe Ratio to capture both prediction accuracy and risk-adjusted returns. A rolling-window backtesting approach is used to simulate real-world trading behavior across varying market conditions. Our hybrid model outperforms standalone LSTM, GRU, and Transformer baselines, achieving an MSE of 0.0021, RMSE of 0.0467, and a directional accuracy of $76.4 \%$. These findings highlight the value of combining deep learning, financial indicators, and sentiment analysis for robust stock market forecasting. A conceptual extension discussing the role of generative models like GPT for unstructured financial data is also presented.",2835-3560,979-8-3315-8913-4,10.1109/AITest66680.2025.00018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11127241,Stock Market Prediction;LSTM-Transformer Hybrid;Deep Learning;Technical Indicators;Sentiment Analysis;Algorithmic Trading;Financial Forecasting;Machine Learning;Time-Series Analysis;Backtesting,Deep learning;Sentiment analysis;Accuracy;Biological system modeling;Predictive models;Transformers;Data models;Stock markets;Forecasting;Long short term memory,,,,34.0,IEEE,19 Aug 2025,,,IEEE,IEEE Conferences
Large Language Model for Dynamic Strategy Interchange in Financial Markets,X. Zhong; Z. Zhao; B. Yan; Q. Xu,"School of Artificial Intelligence, South China Normal University, GuangZhou, China; School of Computer Science, South China Normal University, GuangZhou, China; Faculty of Finance, City University of Macau, Taipa,Macao SAR, China; School of Artificial Intelligence, South China Normal University, GuangZhou, China",2024 9th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA),28 Jun 2024,2024,,,306,312,"With the widespread application of large language model technologies, various industries have adopted this technology to optimize existing solutions, including the field of quantitative trading. Large language models, relying on their rich pretrained knowledge, have achieved significant results in key tasks of quantitative trading such as news analysis, market sentiment judgment, and financial data forecasting. These quantitative strategies based on specific tasks can achieve considerable profits in the financial market. However, the instability of financial markets means it is difficult to maintain a market advantage by relying on a single strategy over the long term. In this paper, we draw on the principles of reinforcement learning to propose a dynamic strategy switching method based on large language models, to adapt to market changes. This method dynamically selects the most suitable strategy for execution based on the current financial market data status and predefined multiple quantitative strategies. Evaluation on two real datasets shows that our method outperforms single-strategy models in several aspects. Furthermore, the application of multi-strategy dynamic switching, combining large language models and reinforcement learning, not only demonstrates superiority but also reveals its great development potential.",2832-3734,979-8-3503-7355-4,10.1109/ICCCBDA61447.2024.10569928,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10569928,Large Language Model;Multi-Strategy;Quantitative Trading;Reinforcement Learning,Industries;Cloud computing;Computational modeling;Switches;Reinforcement learning;Market research;Data models,,3.0,,22.0,IEEE,28 Jun 2024,,,IEEE,IEEE Conferences
Transforming Financial Market Prediction Through Generative AI-Powered Data Management,M. S. Shivalini; P. K. Gandra; S. Alamuri; S. S. Gupta; P. S,"Co-operative Central Bank Ltd, Adilabad District, Telanagana, India; Narsee Monjee Institute of Management Studies (NMIMS), Deemed to be University, Hyderabad, Telangana, India; Faculty of Management, Osmania University, Hyderabad, India; School of Management, Graphic Era Hill University, Bhimtal, Dehradun, Uttarakhand, India; Department of English, Panimalar Engineering College, Chennai, India",2024 4th International Conference on Innovative Sustainable Computational Technologies (CISCT),29 Aug 2025,2024,,,1,6,"Predicting financial markets remains essential for decision-making in trading and investment. However, traditional models often fall short due to low-quality data, market volatility, and the complexity of global economic trends. Generative AI offers a transformative approach by improving data management processes, enhancing prediction accuracy, and overcoming the limitations of current forecasting models. This research explores the potential of Generative AI to enrich financial data through techniques like data augmentation, synthetic data generation, and anomaly detection. Specifically, the study investigates how integrating Generative AI into data preprocessing can enhance predictive modeling using Long Short-Term Memory (LSTM) networks for time series forecasting, particularly in stock prices. The research also explores feature engineering techniques such as moving averages, Relative Strength Index (RSI), and volatility metrics, which are crucial for capturing market trends. Generative Adversarial Networks (GANs) are employed to create additional realistic trading scenarios, boosting model robustness. Implemented using Python, the findings reveal that the combined LSTM and GAN model improved prediction accuracy over traditional methods, achieving an RMSE of 0.096 and R-squared ($\mathbf{R}^{\mathbf{2}}$) $\mathbf{0. 8 5}$ in stock price forecasts. The incorporation of synthetic data with traditional financial metrics leads to an improvement in the model's ability to predict short-term market trends. These findings suggest that the use of Generative AI can provide a more resilient and adaptive approach to financial market prediction, opening new avenues for research in the domain. Future research could focus on expanding the scope to include multi-market scenarios and incorporating real-time data streams.",,979-8-3503-7814-6,10.1109/CISCT62494.2024.11134255,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11134255,generative AI;financial market prediction;data augmentation;synthetic data;LSTM;GAN,Measurement;Generative AI;Biological system modeling;Predictive models;Market research;Generative adversarial networks;Data models;Forecasting;Long short term memory;Synthetic data,,,,15.0,IEEE,29 Aug 2025,,,IEEE,IEEE Conferences
Prophetic markets: Multi-modal deep learning redefines stock market predictions,H. Chidambaram; J. Gontu; S. Athmakuri; S. Jayaraman,"Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India; Department of Computer Science and Engineering, Amrita School of Computing, Amrita Vishwa Vidyapeetham, India",2025 11th International Conference on Communication and Signal Processing (ICCSP),29 Jul 2025,2025,,,849,854,"Stock market prediction is a vital resource for investors and financial experts looking to reduce risk and maximize profits. In this article, we propose a novel multi-modal deep learning-based method to improve predictions of stock market trends. This study uses an integrated framework of state-of-the-art machine learning techniques, deep learning with LLM, and RAG. We use data retrieval techniques, such as web scraping, to download financial reports containing corporate balance sheets. Further, our method includes real-time sentiment analysis in order to understand the investors’ current mentality which can be crucial in determining the market movements. Technical analysis uses deep learning models to interpret important indicators such as RSI, MACD, CCI, and Stochastic oscillators to uncover underlying patterns and correlations in stock trends. Our experiments demonstrate that this integrated strategy performs better than conventional single-dimensional techniques. We are combining data from corporate financial, sentiment analysis, and technical factors as well as active news sentiment analysis to improve the accuracy and reliability of market predictions by demonstrating the performance of a combined set of data sources. This work draws attention to the importance of the multifaceted integration of data by demonstrating RAG benefits for accurate financial data retrieval and multi-modal analysis in the practical applications of stock markets. The results demonstrate how these new approaches can be combined for profit maximization with better decision-making and risk reduction in financial markets.",2836-1873,978-1-6654-5736-1,10.1109/ICCSP64183.2025.11088423,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11088423,Stock prediction;multi-modal deep learning;LLM;RAG;news sentiment analysis;financial data;and technical indicators,Deep learning;Sentiment analysis;Accuracy;Soft sensors;Predictive models;Data retrieval;Market research;Data models;Numerical models;Stock markets,,,,22.0,IEEE,29 Jul 2025,,,IEEE,IEEE Conferences
Global Stock Market Prediction Using Stock Chart Images with Convolutional Neural Networks (CNNs) and Long Short-Term Memory (LSTM) Networks Enhanced by Deep Q-Learning,M. K; H. G N; P. M; H. T C,"Department of ISE, CIT, Tumkur, India; Department of CSE, GPT, Chitradurga, India; Department of ISE, CIT, Tumkur, India; Department of MBA, CIT, Tumkur, India","2024 First International Conference on Innovations in Communications, Electrical and Computer Engineering (ICICEC)",30 Dec 2024,2024,,,1,7,"The global financial markets have seen rapid advancements in predictive modelling, particularly in the use of deep learning techniques to forecast stock market trends. This research presents a novel deep learning framework that enhances global stock market prediction by leveraging Convolutional Neural Networks (CNNs) combined with Long Short-Term Memory (LSTM) networks and optimized through Deep Q-Learning to detect patterns across international markets. The model was trained on U.S. stock chart images and tested across 31 countries over a 12-year period. Pre-processing tailored for CNNs and LSTMs enabled it to capture both visual and sequential features. Deep Q-Learning further enhanced decision-making accuracy, leading to consistent returns across diverse markets, including smaller ones. The results show that this integrated approach surpasses traditional methods, offering robust predictions and valuable insights into global market trends, benefiting investors and analysts worldwide.",,979-8-3503-7651-7,10.1109/ICICEC62498.2024.10808820,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10808820,Global stock market prediction;Deep learning;Convolutional Neural Networks (CNNs);Long Short-Term Memory (LSTM) networks;Deep Q-Learning,Deep learning;Visualization;Q-learning;Computational modeling;Globalization;Predictive models;Market research;Convolutional neural networks;Stock markets;Long short term memory,,,,26.0,IEEE,30 Dec 2024,,,IEEE,IEEE Conferences
Incorporating related stock and text for stock price movement prediction based on information fusion,Z. Li,"School of Computer and Artificial Intelligence, Beijing Technology and Business University, Beijing, China","2025 6th International Conference on Computing, Networks and Internet of Things (CNIOT)",14 Jul 2025,2025,,,1,6,"Investors have long been concerned with the analysis of textual information related to target stocks when making stock investments. We collected and extracted stock news headlines from the Chinese stock market and utilized a Large Language Model (LLM) to identify stocks related to the target stock and the relationships among them. Based on these relationships, we constructed a related stock relationship graph. Considering the dynamic changes in the relationship weights between stocks, we employed Graph Attention Networks (GAT) to build a feature fusion model for integrating the features of related stock news. Factors influencing prediction were considered, including different methods of text concatenation, the identification of related stocks, the relationship modeling between related stocks, and the fusion of related stock features. A comparative analysis of the Long Short-Term Memory (LSTM) model, the Bidirectional Long Short-Term Memory (Bi-LSTM) model, and the Long Short-Term Memory with Attention (LSTM-Attention) model revealed that both the news headlines of the target stock and the related stocks, along with their relationships, impact stock price movement prediction. Conversely, ignoring feature fusion and textual feature extraction can negatively affect prediction accuracy.",,979-8-3315-1168-5,10.1109/CNIOT65435.2025.11070984,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11070984,LLM;GAT;fusion model;stock price movement prediction;LSTM,Analytical models;Accuracy;Computational modeling;Large language models;Predictive models;Feature extraction;Transformers;Vectors;Stock markets;Long short term memory,,,,28.0,IEEE,14 Jul 2025,,,IEEE,IEEE Conferences
